City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
77,Mon,20,IN,04/24/2021,20,26.75,95.1,91.81,6.15
78,Lorengau,34,PG,04/24/2021,75,-2.0226,147.2712,82.72,3.51
79,Bethel,90,US,04/24/2021,44,41.3712,-73.414,57.2,2.89
80,Ndélé,100,CF,04/24/2021,78,8.4109,20.6473,73.89,7.0
81,Pangkalanbuun,59,ID,04/24/2021,45,-2.6833,111.6167,93.34,3.38
82,Qaanaaq,56,GL,04/24/2021,69,77.484,-69.3632,21.52,8.19
83,Ponta do Sol,93,PT,04/24/2021,88,32.6667,-17.1,59.0,7.0
84,Witham,4,GB,04/24/2021,93,51.8001,0.6404,37.99,1.99
85,Fort Beaufort,39,ZA,04/24/2021,26,-32.7748,26.6338,59.76,3.78
86,Cayenne,40,GF,04/24/2021,94,4.9333,-52.3333,79.0,10.2
87,Hermanus,100,ZA,04/24/2021,83,-34.4187,19.2345,61.0,8.01
88,Saint-Joseph,0,RE,04/24/2021,73,-21.3667,55.6167,79.0,26.46
89,Severo-Kuril'sk,100,RU,04/24/2021,94,50.6789,156.125,33.98,9.31
90,Iqaluit,90,CA,04/24/2021,93,63.7506,-68.5145,32.0,4.61
91,Lata,86,PT,04/24/2021,91,40.1629,-8.3327,61.0,3.6
92,Atuona,39,PF,04/24/2021,77,-9.8,-139.0333,80.31,13.98
93,Seymchan,100,RU,04/24/2021,63,62.8833,152.4333,22.51,9.1
94,Felipe Carrillo Puerto,52,MX,04/24/2021,93,19.5833,-88.05,71.76,2.62
95,Cidreira,94,BR,04/24/2021,89,-30.1811,-50.2056,67.71,8.32
96,Nikolskoye,75,RU,04/24/2021,86,59.7035,30.7861,37.0,8.95
97,Nemuro,75,JP,04/24/2021,60,43.3236,145.575,41.0,12.66
98,Salinas,1,US,04/24/2021,71,36.6777,-121.6555,55.4,8.05
99,Luba,20,GQ,04/24/2021,88,3.4568,8.5547,77.0,1.14
100,Krasnaya Gora,0,RU,04/24/2021,93,52.9995,31.6023,32.0,13.42
101,Cabo San Lucas,1,MX,04/24/2021,26,22.8909,-109.9124,71.01,10.16
102,Champerico,98,GT,04/24/2021,96,14.3,-91.9167,64.99,3.65
103,Mwanza,75,TZ,04/24/2021,88,-2.5167,32.9,68.0,4.54
104,Broken Hill,0,AU,04/24/2021,35,-31.95,141.4333,69.8,9.22
105,Upernavik,9,GL,04/24/2021,78,72.7868,-56.1549,22.59,7.99
106,Porto Seguro,40,BR,04/24/2021,83,-16.4497,-39.0647,75.2,3.44
107,Cabedelo,0,BR,04/24/2021,100,-6.9811,-34.8339,73.4,4.61
108,Bathsheba,20,BB,04/24/2021,61,13.2167,-59.5167,78.8,18.41
109,Conceição do Coité,2,BR,04/24/2021,96,-11.5639,-39.2828,68.14,3.83
